"";"Agrostidinae";"Alnus";"Anthemideae";"Apiaceae";"Arctous";"Arnica";"Asteraceae";"Asteroideae";"Astragalus";"Betula";"Bistorta";"Braya";"Cardamine";"Carex";"Castilleja";"Cerastium";"Chrysosplenium";"Crepidinae";"Delphinium";"Draba";"Dryas";"Empetrum";"Epilobium";"Eriophorum";"Eritrichium";"Galium";"Geum";"Juniperus";"Kobresia";"Larix";"Luzula";"Minuartia";"Myosotis";"Oxytropis";"Papaver";"Parrya";"Pedicularis";"Pinus";"Poeae";"Poinae";"Populus";"Puccinellia";"Ranunculaceae";"Ranunculus";"Rhododendron";"Ribes";"Rosoideae";"Rubus";"Rumex";"Saliceae";"Sambucus";"Saussurea";"Saxifraga";"Saxifragaceae";"Senecioninae";"Silene";"Stellaria";"Tephroseris";"Thalictrum";"Thymus";"Valeriana"
"X13.TY.1";0;0;12,3;0;0,08;0,01;25,33;4,86;11,4;23,81;0,22;0;0;28,73;0;0;1,22;0;2,57;0,76;165,73;0,42;0;12,22;1,44;0;0,65;0;0,65;2,78;1,07;0;0;1,62;11,77;2,12;3,3;0;0;9;0;0;0,52;8,42;14,81;0;1,37;0,06;0;1247,37;0,02;0,01;1,47;0,73;0,29;1,07;0,23;0;1,23;0;7,79
"X13.TY.2";1,61;0;0;0;0;0;2,67;0;0;219,96;0,1;0;0;75,64;0;0;0;0;0;0;36,37;0;0;19,15;0;0;0;0;0;0;0;0;0;0;0;0;5,93;0;0;71,1;0;0;0;2,04;0,99;0;10,8;0,65;0;880,68;1,15;0;0;0;0;0;0;0,42;0;0;0
"X13.TY.5";1,09;0;1,49;0;0;0;27,42;0,08;0;636,9;1,09;0;0;24,53;0;0;0;0;0;0,75;233,19;0;0;1,58;0;0;0;0;0;0;0;0;0;0;1,4;0;2,94;0;0;8,07;0;0;0;0,07;6,29;0;0;0;0;690,21;0,15;0;1,04;0;0,03;0;0;0,01;0;0;0
"X13.TY.03";0;0;0;0;0;0;119,8;0,36;0;93,65;7,52;0;0;13,27;0;0;0;0;0;0;95,43;0;0,64;1,02;0;0;0;0;0;1,38;0;0;0;0;0;0;3,93;282,87;0;66,18;0;0;0;0;44,48;0;0,04;0;0;769,1;1,04;0;1,43;3,21;0;0;0;7,19;0;0;3,51
"X13.TY.4";0;0;0;0;0;0;0;0;0;834,11;0;0;78,64;3,48;0;0;0;0;0;0;0;0;1,8;0,56;0;0;0;0;0;0;1,98;0;0;0;0;0;24,23;0;0;0;0;0;37,54;0;6,96;0;47,76;0,08;0;363,98;0;0;0;0;0;0;0;0;0;0;0
"X13.TY.6";0,36;0;10,96;0;0,06;2,26;30,5;3,98;14,37;213,86;0,26;0;0;19,19;0;0;0;0;0;0;810,52;5,57;0;1,15;0;0;0;0;0;3,77;0,46;0;0;6,15;0,13;0;3,82;0;0;4,29;0,95;0;0;0,33;21,31;0;0;0;0;468,68;0,27;0;0,65;0,01;0,05;0;0;0;0;0;0,81
"X13.TY.8";0;0;0,04;0,03;0;0;41,67;0,05;8,31;166,63;2,24;0;0;21,3;0;0;0;0;0;0;138,08;1,31;0;3,2;0,01;0;0;0;0;0,03;0;0;0;0;1,55;0;2,17;0;0;21,86;0;0;0;0,1;10,35;0;0;0;0,29;1191,02;0,14;0,06;1,48;0,25;0;0;0;0;0;0;3,5
"X13.TY.12";0;0;0;0;0;0;1,77;0;0;12,33;0;0;0;0,08;0;0;0,07;0;0;0;5,71;0;0,53;0;0;0;0;0;0;0,73;0;0;0;0;0,25;0;4,49;1,47;0;457,78;0;0;6,85;11,79;1,71;0;1,66;0,01;0,73;1183,11;0;0;0;0,28;0;0;0;0;0;0;0,01
"X13.TY.11";0;0;0;0;0;0;2,74;0;0,64;17,03;0;2,53;0;4,86;0;0;1,51;0;0;0;0;0;8,42;3,25;0;0;0;0;0;0,08;0;0;0;0;0;0;0,57;0;0;831,44;0;0;234,29;8,16;0,2;0;2,23;0;0;535,48;0;0;3,04;0;0;0;0;1;0;0;0
"X13.TY.10";0;0;0;0;0;0;12,49;0,04;0;33,38;0;0;0;1,52;0;0;0;0;0;0;5,75;0;0;0,11;0;0;0;6,23;0;4,92;0;0;0;0;0;0;0;0;0;167,03;0;0;4,14;329,04;35,97;0;55,55;0,1;0;953,83;0,04;0;1,7;0;0;0;0;0;0;0;0
