"";"Achillea.millefolium";"Agrostidinae";"Alnus";"Alnus.alnobetula";"Alyssum.obovatum";"Andromeda.polifolia";"Androsace.chamaejasme";"Anthemideae";"Apiaceae";"Arctous";"Arnica";"Asteraceae";"Asteroideae";"Astragalus";"Betula";"Bistorta";"Bistorta.vivipara";"Braya";"Cardamine";"Carex";"Carex.aquatilis";"Carex.lachenalii";"Carex.vaginata";"Cassiope.tetragona";"Castilleja";"Cerastium";"Chamaedaphne.calyculata";"Chamerion.angustifolium";"Chrysosplenium";"Convallaria.majalis";"Crepidinae";"Delphinium";"Draba";"Dryas";"Empetrum";"Epilobium";"Eriophorum";"Eritrichium";"Eutrema.edwardsii";"Galium";"Geum";"Hedysarum.boreale";"Hedysarum.hedysaroides";"Hedysarum.hedysaroides.subsp..arcticum";"Hulteniella.integrifolia";"Juniperus";"Kobresia";"Lagotis.glauca";"Larix";"Luzula";"Micranthes.nelsoniana";"Minuartia";"Muhlenbergia.richardsonis";"Myosotis";"Myosotis.alpestris";"Oxycoccus.quadripetalus";"Oxyria.digyna";"Oxytropis";"Pachypleurum.alpinum";"Papaver";"Parrya";"Pedicularis";"Pedicularis.capitata";"Pedicularis.lanata";"Pedicularis.lapponica";"Pedicularis.oederi";"Pedicularis.pacifica";"Pedicularis.pennellii";"Pedicularis.sceptrum.carolinum";"Pedicularis.tristis";"Pedicularis.verticillata";"Pinus";"Poeae";"Poinae";"Populus";"Puccinellia";"Pyrola.grandiflora";"Pyrola.rotundifolia";"Ranunculaceae";"Ranunculus";"Ranunculus.arcticus";"Ranunculus.pygmaeus";"Ranunculus.reptans";"Ranunculus.sceleratus";"Rhodiola.rosea";"Rhododendron";"Rhododendron.lapponicum";"Ribes";"Rosoideae";"Rubus";"Rumex";"Saliceae";"Sambucus";"Saussurea";"Saxifraga";"Saxifraga.hirculus";"Saxifraga.oppositifolia";"Saxifraga.porsildiana";"Saxifragaceae";"Senecioninae";"Silene";"Sium.suave";"Stellaria";"Stellaria.borealis";"Stellaria.longifolia";"Tephroseris";"Thalictrum";"Thymus";"Tofieldia.coccinea";"Vaccinium.microcarpum";"Vaccinium.myrtillus";"Vaccinium.uliginosum";"Vaccinium.vitis.idaea";"Valeriana"
"X13.TY.31";0;0;0,12;8,22;1,05;1,12;0;0,34;0;0;0;4,69;0;0;314,72;0;0,58;0;0;4,94;3,64;0;0;0;0;0;0,03;0;0,44;0;0;0;0;2,33;0,46;18,96;1,44;0;0;0;0;0;0;0;0;0;0;0;31,7;0;0,31;0;0;0;0;0;0;0;0;0,41;0;0,38;0;0;0,11;0;6,71;0,39;0;0;0;0;0;189,09;0;0;0,34;0,03;39,76;0,23;0;0;0;0,25;0;107,46;0,46;0,36;82,77;0,65;0;854,25;0,43;0;0,17;5,31;0;0,87;0;0;0;0;0,18;0;0;0,18;0;0;0;0;0;23,31;0,81;0
"X13.TY.32";0;0;0,03;10,62;0;0,02;0;0;0;0,28;0;14,6;0,01;0;170,33;0;1,46;0;0;0,24;1,14;0;0,01;0;0;0;1,62;0;0;0,07;0;0;0;5,1;2,59;1,62;0,35;0;0;0;0;0;0;0;0,01;0;0;0;61,95;0;0;0;0;0;0;0;0;0;0;0;0;0,18;0,11;0;0,03;0;0,29;0;0,57;0;0;0;0;52,62;0;0;0,27;0,09;42,13;0,16;0;0;0;0,64;0;61,89;2,79;0;28,07;0,2;0;1193,62;0,73;0;1,97;1,28;0;0;0,08;0;0;0;0,23;0,01;0;2,16;0;0;0;0;0,01;41,93;5,89;0
"X13.TY.25";0;0;0,1;7,03;0;0,02;0;0,02;0;0;0;51,41;0,28;0;155,79;0;0;0;0;6,17;8,7;0;0;0;0;0;3,36;0;0;0;0;0;0;0;0;3,34;6,2;0;0;0;0;0;0;0;0;0;0;0;24,96;0;0;0;9,44;0;0;0;0;0;0;2,37;0;0,39;0;0;0;0;0,03;0;0;0;0;0;0;192,52;0;0;0;0;338,6;0;0;0;0;0;0;42,98;6,18;0;55,96;0,05;0;762,52;2,75;0;15,58;0;0;0;0;0;0;0;0;0;0;2,46;0;0;0;0;0;5,82;4,97;0
"X13.TY.17";0;0;0;21,06;0;29,52;0;1,18;0;0;0;3,67;0,04;0;31,83;0;0;0;0;3,15;0,15;0;0;0;0;0;203,84;0;0;0,91;0;0;0;0;0;0;0,79;0;0;0;0;0;0;0;0,08;0;0;7,33;796,89;0;0;0;11,98;0;0;0;0;1,12;0;0;0;0,12;1,5;0;0;0;4,27;0;0;0;0;0;0;0;0;0;0;0;0;0,32;0;0;0,39;0;0;1,66;0;0;3,04;0;0;571,14;9,93;0;0;0;0;0;0;0,18;0;0;0;0;0;0;0;0;0;0;0;1,99;1,92;0
"X13.TY.20";0;0,69;0,09;9,92;0;13,87;0;0;0;0;0;3,21;0;0;270,14;0;0;0;0;6,48;0,78;0;0;0;0;0;33,04;0;0;2,28;0;0;0;0;0;3,33;0,38;0;0;0,51;0;0;0;0;0;0;0;0;77,95;0;0;0;0;0;0;0,68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,38;0;0;0;0;0;0;0;0;0;0;0;0;0;256,13;2,14;0;305,72;0,56;0;606,18;11,23;0;0;0;0;0;0;0;0;2,3;0;0;0;0,27;0;0;0;11,71;0;78,8;6,23;0
"X13.TY.21";0;0;0;14,7;0;0;0,18;0,47;0,98;0;0;9,53;0;0;15,41;0;10,77;0;0;5,48;0,32;0;0;0;0;0;0;0;1,01;0;0;0;0;44,4;0;0;0,67;0;0;0;0;0;0;0;0;0;0;0;34,13;0;0;0;0;1,55;0;0;0;0;0;3,36;0;0;0;0;0;0;0;0;0;0;0;0;0;3,49;0;0;0;0;5,18;0;0;0;0;0;0;15,6;0;0;8,5;0;0;1524,16;0;0;0;0,98;0;0;0;0;0;0;0;0;0;2,34;0;0;0;0;0;6,5;0,29;0
"X13.TY.23";0;12,06;0,37;65,1;0;0;1,14;0;0;0;0;68,99;0,17;0;29,75;2,87;3,21;0;0;0,89;0,1;0;0;0;0;0;0;0;0,52;0;0;0;0;32,17;0;4,05;0,18;0;0;0;0;0;0;0;0;0;0;0;209,91;0;0;0,06;7,42;4,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,3;0;0;0;13,34;10,6;0;0;0;24,04;0;43,6;1,21;0;44,99;1,85;0;983,05;1,5;0;2,96;0;0;0;0;0,07;0;0;1,49;0,1;0,08;124,87;0;0;0;0;0;3,45;3,86;1,62
"X13.TY.19";0;0;0;0;0;3,06;0;0;0;0;0;120,77;0,56;0;21,53;0;0;0;0;76,24;0;0;0;0;0;0;0;4,66;0;0;0;0;0;0;0;0;6,86;0;0;0;0;0;0;0;0;0;0;0;653,53;0;0;0;22,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139,93;0;0;155,13;0;0;491,84;0,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,68;0
"X13.TY.22";0,99;6,11;0;0,7;0;0,37;0,05;4,2;0;0,12;0;27,64;0,04;0;384,88;0;11,02;0;0;0,39;0,01;0;0;0;0;0;3,93;0,01;0;0,93;0;0;0;40,23;0;0,96;0,11;0,55;0;4,12;0;0;0;0;0,08;0;0;1,92;153,98;0;0;0;0;0;2,29;0;1,17;0,12;0;0,1;0;0,33;0;0;0;0;3,75;0;0;0;0;0;0;0;7,97;0;0;0;13,41;1,56;0;0;0;4,12;0;26,57;1,66;0;43,31;1,55;0;903,23;1,97;4,79;1,67;2,92;0;0;0;0,26;0;2,79;1,8;0,13;0,08;33,35;0;0;0;0;0;4,71;1,05;0
"X13.TY.24";0;0,45;0,01;16,62;0;0;0,02;6,35;0,9;0;0,49;29,04;0,09;0,25;29,77;0;4,43;0;0;0,04;0,03;0;0;0;0;0;0,46;0,06;0,16;0;0,23;0;0;108,77;0;0,61;0;6,2;0;0;0,32;0,16;0,02;0,19;0,04;0;0;3,55;53,53;0;0;0;0,17;0,44;5,78;0;1,91;0,18;1,22;1,33;0;0;0;0;0;0;0,18;0;0;0,24;0;0;0,4;1,35;0,16;0;0,24;0;1,8;11,47;0,04;0;0;0;0,37;25,78;0,72;0,3;29,27;2,63;0,52;1332,56;7,55;8,3;0;0,57;0,05;0;0;0,82;0;0;0;0;0;0,32;0;1,83;0;0;0;6,3;2,01;0,4
"X13.TY.18";0;0;0;29,99;0;0;0;0;0;0;0;163,3;0;0;36,88;0;75,12;0;0;42,74;9,2;0;0;0;0;0;0;0;0;0;0;0;0;69,4;0;0;0;0;0;0;0;0;0;0;0;109,72;0;0;121,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,85;0;0;0;0;0;0;0;0;0;0;0;55,67;0;0;2,78;0;0;942,96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,17;30,89;0
